candidate_id,n,h,d,k,a,w,q,tree_height,tree_bits,leaf_bits,wots_logw,wots_len1,wots_len2,wots_len,fors_msg_bits,fors_msg_bytes,hmsg_needed_bytes,pk_bytes,sk_bytes,sig_bytes,struct_pass,reject_reason
1804,16,64,8,22,6,256,1048576,8,56,8,8,16,2,18,132,17,25,32,64,5808,1,
2643,16,66,11,14,6,256,65536,6,60,6,8,16,2,18,84,11,20,32,64,5808,1,
2644,16,66,11,14,6,256,1048576,6,60,6,8,16,2,18,84,11,20,32,64,5808,1,
47,16,60,6,22,8,256,65536,10,50,10,8,16,2,18,176,22,31,32,64,5872,1,
48,16,60,6,22,8,256,1048576,10,50,10,8,16,2,18,176,22,31,32,64,5872,1,
1,16,60,6,14,6,16,65536,10,50,10,4,32,3,35,84,11,20,32,64,5904,1,
2,16,60,6,14,6,16,1048576,10,50,10,4,32,3,35,84,11,20,32,64,5904,1,
1295,16,63,7,14,12,256,65536,9,54,9,8,16,2,18,168,21,30,32,64,5952,1,
1296,16,63,7,14,12,256,1048576,9,54,9,8,16,2,18,168,21,30,32,64,5952,1,
2447,16,66,6,22,8,256,65536,11,55,11,8,16,2,18,176,22,31,32,64,5968,1,
2448,16,66,6,22,8,256,1048576,11,55,11,8,16,2,18,176,22,31,32,64,5968,1,
2401,16,66,6,14,6,16,65536,11,55,11,4,32,3,35,84,11,20,32,64,6000,1,
2402,16,66,6,14,6,16,1048576,11,55,11,4,32,3,35,84,11,20,32,64,6000,1,
1311,16,63,7,17,10,256,65536,9,54,9,8,16,2,18,170,22,31,32,64,6032,1,
1312,16,63,7,17,10,256,1048576,9,54,9,8,16,2,18,170,22,31,32,64,6032,1,
19,16,60,6,14,14,256,65536,10,50,10,8,16,2,18,196,25,34,32,64,6064,1,
20,16,60,6,14,14,256,1048576,10,50,10,8,16,2,18,196,25,34,32,64,6064,1,
2663,16,66,11,17,6,256,65536,6,60,6,8,16,2,18,102,13,22,32,64,6144,1,
2664,16,66,11,17,6,256,1048576,6,60,6,8,16,2,18,102,13,22,32,64,6144,1,
2419,16,66,6,14,14,256,65536,11,55,11,8,16,2,18,196,25,34,32,64,6160,1,
2420,16,66,6,14,14,256,1048576,11,55,11,8,16,2,18,196,25,34,32,64,6160,1,
1327,16,63,7,22,8,256,65536,9,54,9,8,16,2,18,176,22,31,32,64,6208,1,
1328,16,63,7,22,8,256,1048576,9,54,9,8,16,2,18,176,22,31,32,64,6208,1,
21,16,60,6,17,6,16,65536,10,50,10,4,32,3,35,102,13,22,32,64,6240,1,
22,16,60,6,17,6,16,1048576,10,50,10,4,32,3,35,102,13,22,32,64,6240,1,
35,16,60,6,17,12,256,65536,10,50,10,8,16,2,18,204,26,35,32,64,6240,1,
36,16,60,6,17,12,256,1048576,10,50,10,8,16,2,18,204,26,35,32,64,6240,1,
1775,16,64,8,14,12,256,65536,8,56,8,8,16,2,18,168,21,29,32,64,6256,1,
1776,16,64,8,14,12,256,1048576,8,56,8,8,16,2,18,168,21,29,32,64,6256,1,
2647,16,66,11,14,8,256,65536,6,60,6,8,16,2,18,112,14,23,32,64,6256,1,
2648,16,66,11,14,8,256,1048576,6,60,6,8,16,2,18,112,14,23,32,64,6256,1,
1791,16,64,8,17,10,256,65536,8,56,8,8,16,2,18,170,22,30,32,64,6336,1,
1792,16,64,8,17,10,256,1048576,8,56,8,8,16,2,18,170,22,30,32,64,6336,1,
2421,16,66,6,17,6,16,65536,11,55,11,4,32,3,35,102,13,22,32,64,6336,1,
2422,16,66,6,17,6,16,1048576,11,55,11,4,32,3,35,102,13,22,32,64,6336,1,
2435,16,66,6,17,12,256,65536,11,55,11,8,16,2,18,204,26,35,32,64,6336,1,
2436,16,66,6,17,12,256,1048576,11,55,11,8,16,2,18,204,26,35,32,64,6336,1,
5,16,60,6,14,8,16,65536,10,50,10,4,32,3,35,112,14,23,32,64,6352,1,
6,16,60,6,14,8,16,1048576,10,50,10,4,32,3,35,112,14,23,32,64,6352,1,
63,16,60,6,33,6,256,65536,10,50,10,8,16,2,18,198,25,34,32,64,6400,1,
64,16,60,6,33,6,256,1048576,10,50,10,8,16,2,18,198,25,34,32,64,6400,1,
1299,16,63,7,14,14,256,65536,9,54,9,8,16,2,18,196,25,34,32,64,6400,1,
1300,16,63,7,14,14,256,1048576,9,54,9,8,16,2,18,196,25,34,32,64,6400,1,
2405,16,66,6,14,8,16,65536,11,55,11,4,32,3,35,112,14,23,32,64,6448,1,
2406,16,66,6,14,8,16,1048576,11,55,11,4,32,3,35,112,14,23,32,64,6448,1,
2463,16,66,6,33,6,256,65536,11,55,11,8,16,2,18,198,25,34,32,64,6496,1,
2464,16,66,6,33,6,256,1048576,11,55,11,8,16,2,18,198,25,34,32,64,6496,1,
1281,16,63,7,14,6,16,65536,9,54,9,4,32,3,35,84,11,20,32,64,6512,1,
1282,16,63,7,14,6,16,1048576,9,54,9,4,32,3,35,84,11,20,32,64,6512,1,
1807,16,64,8,22,8,256,65536,8,56,8,8,16,2,18,176,22,30,32,64,6512,1,
1808,16,64,8,22,8,256,1048576,8,56,8,8,16,2,18,176,22,30,32,64,6512,1,
51,16,60,6,22,10,256,65536,10,50,10,8,16,2,18,220,28,37,32,64,6576,1,
52,16,60,6,22,10,256,1048576,10,50,10,8,16,2,18,220,28,37,32,64,6576,1,
1315,16,63,7,17,12,256,65536,9,54,9,8,16,2,18,204,26,35,32,64,6576,1,
1316,16,63,7,17,12,256,1048576,9,54,9,8,16,2,18,204,26,35,32,64,6576,1,
2451,16,66,6,22,10,256,65536,11,55,11,8,16,2,18,220,28,37,32,64,6672,1,
2452,16,66,6,22,10,256,1048576,11,55,11,8,16,2,18,220,28,37,32,64,6672,1,
2667,16,66,11,17,8,256,65536,6,60,6,8,16,2,18,136,17,26,32,64,6688,1,
2668,16,66,11,17,8,256,1048576,6,60,6,8,16,2,18,136,17,26,32,64,6688,1,
1779,16,64,8,14,14,256,65536,8,56,8,8,16,2,18,196,25,33,32,64,6704,1,
1780,16,64,8,14,14,256,1048576,8,56,8,8,16,2,18,196,25,33,32,64,6704,1,
2651,16,66,11,14,10,256,65536,6,60,6,8,16,2,18,140,18,27,32,64,6704,1,
2652,16,66,11,14,10,256,1048576,6,60,6,8,16,2,18,140,18,27,32,64,6704,1,
2683,16,66,11,22,6,256,65536,6,60,6,8,16,2,18,132,17,26,32,64,6704,1,
2684,16,66,11,22,6,256,1048576,6,60,6,8,16,2,18,132,17,26,32,64,6704,1,
1343,16,63,7,33,6,256,65536,9,54,9,8,16,2,18,198,25,34,32,64,6736,1,
